FlightId,Price,StopCount,Departue,Arrival,FlightTime,Airline(s),DepartureCity,ArrivalCity
15062-2210160712--31694-0-13416-2210160939,275.06,0,10/16/2022 7:12:00 AM,10/16/2022 9:39:00 AM,267,,Virgin Australia,Chicago O'Hare International,Los Angeles International
15062-2210160850--31722-0-13416-2210161119,342.62,0,10/16/2022 8:50:00 AM,10/16/2022 11:19:00 AM,269,,United,Chicago O'Hare International,Los Angeles International
15062-2210160715--32626-0-13416-2210160936,281.42,0,10/16/2022 7:15:00 AM,10/16/2022 9:36:00 AM,261,,Air Tahiti Nui,Chicago O'Hare International,Los Angeles International
15062-2210172145--31825-1-13416-2210180708,100.65,1,10/17/2022 9:45:00 PM,10/18/2022 7:08:00 AM,683,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210171700--32257-0-13416-2210171916,279.86,0,10/17/2022 5:00:00 PM,10/17/2022 7:16:00 PM,256,,Gulf Air,Chicago O'Hare International,Los Angeles International
15062-2210172054--32257-0-13416-2210172314,205.32,0,10/17/2022 8:54:00 PM,10/17/2022 11:14:00 PM,260,,Gulf Air,Chicago O'Hare International,Los Angeles International
15062-2210172159--31825-0-13416-2210180039,113.71,0,10/17/2022 9:59:00 PM,10/18/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210170825--32184-0-13416-2210171047,277.85,0,10/17/2022 8:25:00 AM,10/17/2022 10:47:00 AM,262,,Japan Airlines,Chicago O'Hare International,Los Angeles International
15062-2210170545--31825-1-13416-2210170945,202.98,1,10/17/2022 5:45:00 AM,10/17/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210170822--31825-0-13416-2210171055,263.23,0,10/17/2022 8:22:00 AM,10/17/2022 10:55:00 AM,273,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210171930--31825-0-13416-2210172207,223.06,0,10/17/2022 7:30:00 PM,10/17/2022 10:07:00 PM,277,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210172013--32646-0-13416-2210172244,262.79,0,10/17/2022 8:13:00 PM,10/17/2022 10:44:00 PM,271,,Air New Zealand,Chicago O'Hare International,Los Angeles International
15062-2210172145--31825-1-13416-2210180945,86.15,1,10/17/2022 9:45:00 PM,10/18/2022 9:45:00 AM,840,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210180545--31825-1-13416-2210180945,109.58,1,10/18/2022 5:45:00 AM,10/18/2022 9:45:00 AM,360,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
15062-2210180712--31722-0-13416-2210180939,194.81,0,10/18/2022 7:12:00 AM,10/18/2022 9:39:00 AM,267,,United,Chicago O'Hare International,Los Angeles International
15062-2210181540--31722-0-13416-2210181800,194.81,0,10/18/2022 3:40:00 PM,10/18/2022 6:00:00 PM,260,,United,Chicago O'Hare International,Los Angeles International
15062-2210182159--31825-0-13416-2210190039,72.59,0,10/18/2022 9:59:00 PM,10/19/2022 12:39:00 AM,280,,Spirit Airlines,Chicago O'Hare International,Los Angeles International
